============================================================
ARABIC VOCABULARY ORGANIZED BY CATEGORY
============================================================

For Mode 2: Quick Review - organized by topic
Format: english | arabic | transliteration
My teacher | أستاذي |
Name of an idol | اسْمُ صَنَم |
Neighbour (f) | جَارَةٌ |
No, I don't have | لا ما عندي |
O Lord of the kabah | يَا رَبَّ الْكَعْبَةِ |
O my dear father | يَا أَبَتِ |
O my dear son | يَا بُنَيَّ |
O my sons | يَا أَبْنَائِي |
O our Lord | يَا رَبَّنَا |
O son of my brother | يَا ابْنَ أَخِي |
Other (m,pl) | آخِرُونَ |
Our house | بيتنا |
She came | جائت |
She camel | ناقة |
She died | ماتت |
She enters | تَدْخُلُ |
She is not | لیست |
She left | خَرَجَتْ |
She said | قالت |
She was pleased | فَرِحَتْ |
She went | ذَهَبَتْ |
Some of them (pl.f) | بعضهن |
Some of them (pl.m) | بَعْضُهُمْ |
Teacher (f) | مُدَرِّسَةٌ |
Than you (m.sing.) | مِنْكَ |
That is | تلك |
The Bestower of Mercy | الرَّحِيمُ |
The Most Merciful | الرَّحْمَنُ |
The day | الْيَوْمُ |
The faculty of Islamic law | كلية الشريعة |
The faculty of commerce | كُلِيَّةُ التَّجَارَةِ |
The faculty of engineering | كُلِيَّةُ الهَنْدَسَة |
The faculty of medicine | كلية الطب |
The first example | الْمِثَالُ الأَوَّلُ |
The five verb forms | الأَفْعَالُ الْخَمْسَةُ |
The negative لا | لا النَّافِيَة |
The next station/stop | الْمَحَطَّةِ الْقَادِمَةُ |
The paradise | الْجَنَّةُ |
The particle of futurity | حَرْفُ الإِسْتِقْبَالِ |
The prohibited لا | لا النَّاهِيَةُ |
The red Indians | الْهُنُودُ الْحُمْرُ |
The second example | الْمِثَالُ الثَّانِي |
The six authentic books | بینت الكتب السنة الصَّحِيحَةُ |
The tongue of Arabs (dictionary) | لِسَانُ الْعَرَبِ |
The verb of wonderment | فِعْلُ التَّعَجُّب |
Them (masculine) | هُمْ
These (pl. m/f) | هؤلاء |
They (dual m/f) | هُمَا |
They (feminine) | هُنَّ
They (m) were pleased | فَرِحُوا |
They (pl.f) | هُنَّ |
They (pl.m) | هُمْ |
They are not (f.pl) | لَسْنَ |
They are not (m.pl) | لَيْسُوا |
They went (f.pl) | ذَهَبْنَ |
They went (m,pl) | ذَهَبوا |
They went (pl.f) | ذَهَبْنَ |
This is (dual f) | هاتان |
This is (dual m) | هذان |
This is (f) | هذه |
This is (m) | هذا |
Those (pl.m/f) | أُوْلَئِكَ |
Tongue of the Arabs | لِسَانُ الْعَرَبِ |
Twenty four (m) | أَرْبَعَةٌ وَعِشْرُونَ |
Twenty four students | أَرْبَعٌ وَ عِشْرُونَ طَالِبَةٌ |
US (masculine/feminine) | نَحْنُ
